"Time EST","Precipitation 1h (mm)","Precipitation Rate (mm/h)","Precipitation Yes/No"
"2018-01-16 15:40","0.0","0","No"
"2018-01-16 15:48","0.0","0","No"
"2018-01-16 16:04","0.0","0","No"
"2018-01-16 16:08","0.0","0","No"
"2018-01-16 16:28","0.0","0","No"
"2018-01-16 16:40","0.0","0","No"
"2018-01-16 16:48","0.0","0","No"
"2018-01-16 17:04","0.0","0","No"
"2018-01-16 17:08","0.0","0","No"
"2018-01-16 17:28","0.0","0","No"
"2018-01-16 17:29","0.0","0","No"
"2018-01-16 17:48","0.0","0","No"
"2018-01-16 18:04","0.0","0","No"
"2018-01-16 18:08","0.0","0","No"
"2018-01-16 18:28","0.0","0","No"
"2018-01-16 18:48","0.0","0","No"
"2018-01-16 19:07","0.0","0","No"
"2018-01-16 19:08","0.0","0","No"
"2018-01-16 19:28","0.0","0","No"
"2018-01-16 19:29","0.0","0","No"
"2018-01-16 19:41","0.0","0","No"
"2018-01-16 19:48","0.0","0","No"
"2018-01-16 20:07","0.0","0","No"
"2018-01-16 20:08","0.0","0","No"
"2018-01-16 20:28","0.0","0","No"
"2018-01-16 20:33","0.0","0","No"
"2018-01-16 20:48","0.0","0","No"
"2018-01-16 21:06","0.0","0","No"
"2018-01-16 21:08","0.0","0","No"
"2018-01-16 21:27","0.0","0","No"
"2018-01-16 21:28","0.0","0","No"
"2018-01-16 21:48","0.0","0","No"
"2018-01-16 21:50","0.0","0","No"
"2018-01-16 22:08","0.0","0","No"
"2018-01-16 22:22","0.0","0","No"
"2018-01-16 22:28","0.0","0","No"
"2018-01-16 22:45","0.0","0","No"
"2018-01-16 22:48","0.0","0","No"
"2018-01-16 23:08","0.0","0","No"
"2018-01-16 23:11","0.0","0","No"
"2018-01-16 23:28","0.0","0","No"
"2018-01-16 23:45","0.0","0","No"
"2018-01-16 23:48","0.0","0","No"
"2018-01-17 00:02","0.0","0","No"
"2018-01-17 00:08","0.0","0","No"
"2018-01-17 00:28","0.0","0","No"
"2018-01-17 00:34","0.0","0","No"
"2018-01-17 00:48","0.0","0","No"
"2018-01-17 01:04","0.0","0","No"
"2018-01-17 01:08","0.0","0","No"
"2018-01-17 01:22","0.0","0","No"
"2018-01-17 01:28","0.0","0","No"
"2018-01-17 01:44","0.0","0","No"
"2018-01-17 01:48","0.0","0","No"
"2018-01-17 02:03","0.0","0","No"
"2018-01-17 02:08","0.0","0","No"
"2018-01-17 02:24","0.0","0","No"
"2018-01-17 02:28","0.0","0","No"
"2018-01-17 02:48","0.0","0","No"
"2018-01-17 02:51","0.0","0","No"
"2018-01-17 03:08","0.0","0","No"
"2018-01-17 03:28","0.0","0","No"
"2018-01-17 03:29","0.0","0","No"
"2018-01-17 03:48","0.0","0","No"
"2018-01-17 04:03","0.0","0","No"
"2018-01-17 04:08","0.0","0","No"
"2018-01-17 04:28","0.0","0","No"
"2018-01-17 04:31","0.0","0","No"
"2018-01-17 04:48","0.0","0","No"
"2018-01-17 05:02","0.0","0","No"
"2018-01-17 05:08","0.0","0","No"
"2018-01-17 05:28","0.0","0","No"
"2018-01-17 05:30","0.0","0","No"
"2018-01-17 05:48","0.0","0","No"
"2018-01-17 06:08","0.0","0","No"
"2018-01-17 06:11","0.0","0","No"
"2018-01-17 06:28","0.0","0","No"
"2018-01-17 06:46","0.0","0","No"
"2018-01-17 06:48","0.0","0","No"
"2018-01-17 07:08","0.0","0","No"
"2018-01-17 07:09","0.0","0","No"
"2018-01-17 07:28","0.0","0","No"
"2018-01-17 07:42","0.0","0","No"
"2018-01-17 07:48","0.0","0","No"
"2018-01-17 08:08","0.0","0","No"
"2018-01-17 08:11","0.0","0","No"
"2018-01-17 08:28","0.0","0","No"
"2018-01-17 08:45","0.0","0","No"
"2018-01-17 08:48","0.0","0","No"
"2018-01-17 09:08","0.0","0","No"
"2018-01-17 09:28","0.0","0","No"
"2018-01-17 09:48","0.0","0","No"
"2018-01-17 10:08","0.0","0","No"
"2018-01-17 10:10","0.0","0","No"
"2018-01-17 10:28","0.0","0","No"
"2018-01-17 10:48","0.0","0","No"
"2018-01-17 11:06","0.0","0","No"
"2018-01-17 11:08","0.0","0","No"
"2018-01-17 11:28","0.0","0","No"
"2018-01-17 11:29","0.0","0","No"
"2018-01-17 11:48","0.0","0","No"
"2018-01-17 12:08","0.0","0","No"
"2018-01-17 12:28","0.0","0","No"
"2018-01-17 12:35","0.0","0","No"
"2018-01-17 12:48","0.0","0","No"
"2018-01-17 13:08","0.0","0","No"
