"Time EST","Precipitation 1h (mm)","Precipitation Rate (mm/h)","Precipitation Yes/No"
"2018-02-02 00:00","0.0","0","No"
"2018-02-02 00:10","0.0","0","No"
"2018-02-02 00:20","0.0","0","No"
"2018-02-02 00:30","0.0","0","No"
"2018-02-02 00:40","0.0","0","No"
"2018-02-02 00:50","0.0","0","No"
"2018-02-02 01:00","0.0","0","No"
"2018-02-02 01:10","0.0","0","No"
"2018-02-02 01:20","0.0","0","No"
"2018-02-02 01:30","0.0","0","No"
"2018-02-02 01:40","0.0","0","No"
"2018-02-02 01:50","0.0","0","Yes"
"2018-02-02 02:00","0.0","0","No"
"2018-02-02 02:10","0.0","0","No"
"2018-02-02 02:20","0.0","0","No"
"2018-02-02 02:30","0.0","0","No"
"2018-02-02 02:40","0.0","0","No"
"2018-02-02 02:50","0.0","0","No"
"2018-02-02 03:00","0.0","0","No"
"2018-02-02 03:10","0.0","0","No"
"2018-02-02 03:20","0.0","0","No"
"2018-02-02 03:30","0.0","0","No"
"2018-02-02 03:40","0.0","0","No"
"2018-02-02 03:50","0.0","0","No"
"2018-02-02 04:00","0.0","0","No"
"2018-02-02 04:10","0.0","0","No"
"2018-02-02 04:20","0.0","0","No"
"2018-02-02 04:30","0.0","0","No"
"2018-02-02 04:40","0.0","0","No"
"2018-02-02 04:50","0.0","0","No"
"2018-02-02 05:00","0.0","0","No"
"2018-02-02 05:10","0.0","0","No"
"2018-02-02 05:20","0.0","0","No"
"2018-02-02 05:30","0.0","0","No"
"2018-02-02 05:40","0.0","0","No"
"2018-02-02 05:50","0.0","0","No"
"2018-02-02 06:00","0.0","0","No"
"2018-02-02 06:10","0.0","0","No"
"2018-02-02 06:20","0.0","0","No"
"2018-02-02 06:30","0.0","0","No"
"2018-02-02 06:40","0.0","0","No"
"2018-02-02 06:50","0.0","0","No"
"2018-02-02 07:00","0.0","0","No"
"2018-02-02 07:10","0.0","0","No"
"2018-02-02 07:20","0.0","0","No"
"2018-02-02 07:30","0.0","0","No"
"2018-02-02 07:40","0.0","0","No"
"2018-02-02 07:50","0.0","0","No"
"2018-02-02 08:00","0.0","0","No"
"2018-02-02 08:10","0.0","0","No"
"2018-02-02 08:20","0.0","0","No"
"2018-02-02 08:30","0.0","0","No"
"2018-02-02 08:40","0.0","0","No"
"2018-02-02 08:50","0.0","0","No"
"2018-02-02 09:00","0.0","0","No"
"2018-02-02 09:10","0.0","0","No"
"2018-02-02 09:20","0.0","0","No"
"2018-02-02 09:30","0.0","0","No"
"2018-02-02 09:40","0.0","0","No"
"2018-02-02 09:50","0.0","0","No"
"2018-02-02 10:00","0.0","0","No"
"2018-02-02 10:10","0.0","0","No"
"2018-02-02 10:20","0.0","0","No"
"2018-02-02 10:30","0.0","0","No"
"2018-02-02 10:40","0.0","0","No"
"2018-02-02 10:50","0.0","0","No"
"2018-02-02 11:00","0.0","0","No"
"2018-02-02 11:10","0.0","0","No"
"2018-02-02 11:20","0.0","0","No"
"2018-02-02 11:30","0.0","0","No"
"2018-02-02 11:40","0.0","0","No"
"2018-02-02 11:50","0.0","0","No"
"2018-02-02 12:00","0.0","0","No"
"2018-02-02 12:10","0.0","0","No"
"2018-02-02 12:20","0.0","0","No"
"2018-02-02 12:30","0.0","0","No"
"2018-02-02 12:40","0.0","0","No"
"2018-02-02 12:50","0.0","0","No"
"2018-02-02 13:00","0.0","0","No"
"2018-02-02 13:10","0.0","0","No"
"2018-02-02 13:20","0.0","0","No"
"2018-02-02 13:30","0.0","0","No"
"2018-02-02 13:40","0.0","0","No"
"2018-02-02 13:50","0.0","0","No"
"2018-02-02 14:00","0.0","0","No"
"2018-02-02 14:10","0.0","0","No"
"2018-02-02 14:20","0.0","0","No"
"2018-02-02 14:30","0.0","0","No"
"2018-02-02 14:40","0.0","0","No"
"2018-02-02 14:50","0.0","0","No"
"2018-02-02 15:10","0.0","0","No"
"2018-02-02 15:30","0.0","0","No"
"2018-02-02 15:51","0.0","0","No"
"2018-02-02 16:10","0.0","0","No"
"2018-02-02 16:30","0.0","0","No"
"2018-02-02 16:50","0.0","0","No"
"2018-02-02 17:10","0.0","0","No"
"2018-02-02 17:31","0.0","0","No"
"2018-02-02 17:51","0.0","0","No"
"2018-02-02 18:10","0.0","0","No"
"2018-02-02 18:30","0.0","0","No"
"2018-02-02 18:40","0.0","0","No"
"2018-02-02 18:50","0.0","0","No"
"2018-02-02 19:00","0.0","0","No"
"2018-02-02 19:10","0.0","0","No"
"2018-02-02 19:20","0.0","0","No"
"2018-02-02 19:30","0.0","0","No"
"2018-02-02 19:40","0.0","0","No"
"2018-02-02 19:50","0.0","0","No"
"2018-02-02 20:00","0.0","0","No"
"2018-02-02 20:10","0.0","0","No"
"2018-02-02 20:20","0.0","0","No"
"2018-02-02 20:30","0.0","0","No"
"2018-02-02 20:40","0.0","0","No"
"2018-02-02 20:50","0.0","0","No"
"2018-02-02 21:00","0.0","0","No"
"2018-02-02 21:10","0.0","0","No"
"2018-02-02 21:20","0.0","0","No"
"2018-02-02 21:30","0.0","0","No"
"2018-02-02 21:40","0.0","0","No"
"2018-02-02 21:50","0.0","0","No"
"2018-02-02 22:00","0.0","0","No"
"2018-02-02 22:10","0.0","0","No"
"2018-02-02 22:20","0.0","0","No"
"2018-02-02 22:30","0.0","0","No"
"2018-02-02 22:40","0.0","0","No"
"2018-02-02 22:50","0.0","0","No"
"2018-02-02 23:00","0.0","0","No"
"2018-02-02 23:10","0.0","0","No"
"2018-02-02 23:20","0.0","0","No"
"2018-02-02 23:30","0.0","0","No"
"2018-02-02 23:40","0.0","0","No"
"2018-02-02 23:51","0.0","0","No"
"2018-02-03 00:00","0.0","0","No"
"2018-02-03 00:10","0.0","0","No"
"2018-02-03 00:20","0.0","0","No"
"2018-02-03 00:30","0.0","0","No"
"2018-02-03 00:40","0.0","0","No"
"2018-02-03 00:50","0.0","0","No"
"2018-02-03 01:00","0.0","0","No"
"2018-02-03 01:10","0.0","0","No"
"2018-02-03 01:20","0.0","0","No"
"2018-02-03 01:30","0.0","0","No"
"2018-02-03 01:40","0.0","0","No"
"2018-02-03 01:50","0.0","0","No"
"2018-02-03 02:00","0.0","0","No"
"2018-02-03 02:10","0.0","0","No"
"2018-02-03 02:20","0.0","0","Yes"
"2018-02-03 02:30","0.0","0","No"
