"Time EST","Air Temp (°C)","Dew Point (°C)","Relative Humidity (%)"
"2017-12-01 00:00","3.8","2.8","932"
"2017-12-01 00:10","3.7","2.7","932"
"2017-12-01 00:20","3.8","2.7","930"
"2017-12-01 00:30","3.8","2.7","927"
"2017-12-01 00:40","3.7","2.7","928"
"2017-12-01 00:50","3.7","2.7","931"
"2017-12-01 01:00","3.7","2.7","931"
"2017-12-01 01:10","3.6","2.6","931"
"2017-12-01 01:20","3.6","2.6","932"
"2017-12-01 01:30","3.6","2.6","933"
"2017-12-01 01:40","3.5","2.5","934"
"2017-12-01 01:50","3.5","2.5","933"
"2017-12-01 02:00","3.3","2.3","932"
"2017-12-01 02:10","3.3","2.4","936"
"2017-12-01 02:20","3.4","2.5","933"
"2017-12-01 02:30","3.4","2.4","927"
"2017-12-01 02:40","3.4","2.3","927"
"2017-12-01 02:50","3.3","2.2","927"
"2017-12-01 03:00","3.3","2.2","926"
"2017-12-01 03:10","3.3","2.2","922"
"2017-12-01 03:20","3.3","2.1","919"
"2017-12-01 03:30","3.2","2.0","920"
"2017-12-01 03:40","3.2","2.0","918"
"2017-12-01 03:50","2.9","1.6","913"
"2017-12-01 04:00","2.5","1.3","916"
"2017-12-01 04:10","2.3","1.2","919"
"2017-12-01 04:20","2.3","1.2","922"
"2017-12-01 04:30","2.3","1.2","924"
"2017-12-01 04:40","2.3","1.2","924"
"2017-12-01 04:50","2.2","1.2","926"
"2017-12-01 05:00","2.3","1.2","927"
"2017-12-01 05:10","2.3","1.2","926"
"2017-12-01 05:20","2.3","1.2","924"
"2017-12-01 05:30","2.3","1.2","921"
"2017-12-01 05:40","2.3","1.1","921"
"2017-12-01 05:50","2.2","1.1","922"
"2017-12-01 06:00","2.2","1.1","925"
"2017-12-01 06:10","2.2","1.1","928"
"2017-12-01 06:20","2.0","1.0","929"
"2017-12-01 06:30","2.1","1.1","932"
"2017-12-01 06:40","2.1","1.1","934"
"2017-12-01 06:50","2.0","1.1","933"
"2017-12-01 07:00","1.9","0.9","931"
"2017-12-01 07:10","1.9","0.8","929"
"2017-12-01 07:20","1.8","0.7","926"
"2017-12-01 07:30","1.7","0.6","923"
"2017-12-01 07:40","1.7","0.6","922"
"2017-12-01 07:50","1.6","0.5","922"
"2017-12-01 08:00","1.6","0.5","921"
"2017-12-01 08:10","1.7","0.5","920"
"2017-12-01 08:20","1.8","0.6","918"
"2017-12-01 08:30","1.9","0.7","915"
"2017-12-01 08:40","1.9","0.6","914"
"2017-12-01 08:50","2.0","0.7","913"
"2017-12-01 09:00","2.0","0.7","910"
"2017-12-01 09:10","2.0","0.7","906"
"2017-12-01 09:20","2.1","0.5","897"
"2017-12-01 09:30","2.2","0.7","897"
"2017-12-01 09:40","2.3","0.7","892"
"2017-12-01 09:50","2.3","0.6","884"
"2017-12-01 10:00","2.4","0.7","880"
"2017-12-01 10:10","2.5","0.7","875"
"2017-12-01 10:20","2.8","0.8","866"
"2017-12-01 10:30","2.8","0.5","851"
"2017-12-01 10:40","2.7","0.4","844"
"2017-12-01 10:50","2.8","0.3","837"
"2017-12-01 11:00","2.7","0.2","833"
"2017-12-01 11:10","2.9","0.3","831"
"2017-12-01 11:20","2.9","0.2","823"
"2017-12-01 11:30","3.0","0.2","818"
"2017-12-01 11:40","3.0","0.1","809"
"2017-12-01 11:50","3.1","0.0","795"
"2017-12-01 12:00","3.2","-0.3","768"
"2017-12-01 12:10","3.3","-0.7","743"
"2017-12-01 12:20","3.5","-0.8","730"
"2017-12-01 12:30","3.7","-0.9","714"
"2017-12-01 12:40","3.9","-0.7","713"
"2017-12-01 12:50","4.0","-0.7","710"
"2017-12-01 13:00","4.0","-0.7","707"
"2017-12-01 13:10","4.3","-0.5","700"
"2017-12-01 13:20","4.8","-0.6","677"
