"Time EST","Precipitation Yes/No"
"2017-11-03 21:08","No"
"2017-11-03 21:28","No"
"2017-11-03 21:48","No"
"2017-11-03 22:08","No"
"2017-11-03 22:28","No"
"2017-11-03 22:48","No"
"2017-11-03 23:08","No"
"2017-11-03 23:28","No"
"2017-11-03 23:48","Yes"
"2017-11-04 00:08","No"
"2017-11-04 00:28","No"
"2017-11-04 00:48","No"
"2017-11-04 01:08","No"
"2017-11-04 01:28","No"
"2017-11-04 01:48","No"
"2017-11-04 02:08","No"
"2017-11-04 02:28","No"
"2017-11-04 02:48","No"
"2017-11-04 03:08","No"
"2017-11-04 03:28","No"
"2017-11-04 03:48","No"
"2017-11-04 04:08","No"
"2017-11-04 04:28","No"
"2017-11-04 04:48","No"
"2017-11-04 05:08","No"
"2017-11-04 05:28","No"
"2017-11-04 05:48","No"
"2017-11-04 06:08","No"
"2017-11-04 06:28","No"
"2017-11-04 06:48","No"
"2017-11-04 07:08","No"
"2017-11-04 07:28","No"
"2017-11-04 07:48","No"
"2017-11-04 08:08","No"
"2017-11-04 08:28","No"
"2017-11-04 08:48","No"
"2017-11-04 09:08","No"
"2017-11-04 09:28","No"
"2017-11-04 09:48","No"
"2017-11-04 10:08","No"
"2017-11-04 10:28","No"
"2017-11-04 10:48","No"
"2017-11-04 11:08","No"
"2017-11-04 11:28","No"
"2017-11-04 11:48","No"
"2017-11-04 12:08","No"
"2017-11-04 12:28","No"
"2017-11-04 12:48","No"
"2017-11-04 13:08","No"
"2017-11-04 13:28","No"
"2017-11-04 13:48","No"
"2017-11-04 14:08","No"
"2017-11-04 14:28","No"
"2017-11-04 14:48","No"
"2017-11-04 15:08","No"
"2017-11-04 15:28","No"
"2017-11-04 15:48","No"
"2017-11-04 16:08","No"
"2017-11-04 16:28","No"
"2017-11-04 16:48","No"
"2017-11-04 17:08","No"
"2017-11-04 17:28","No"
"2017-11-04 17:48","No"
"2017-11-04 18:08","No"
"2017-11-04 18:28","No"
"2017-11-04 18:48","No"
"2017-11-04 19:08","No"
"2017-11-04 19:28","Yes"
"2017-11-04 19:48","Yes"
"2017-11-04 20:08","Yes"
"2017-11-04 20:28","Yes"
"2017-11-04 20:48","Yes"
"2017-11-04 21:08","Yes"
"2017-11-04 21:28","Yes"
"2017-11-04 21:48","Yes"
"2017-11-04 22:08","Yes"
"2017-11-04 22:28","Yes"
"2017-11-04 22:48","Yes"
"2017-11-04 23:08","Yes"
"2017-11-04 23:28","No"
"2017-11-04 23:48","Yes"
"2017-11-05 00:08","Yes"
"2017-11-05 00:28","Yes"
"2017-11-05 00:48","Yes"
"2017-11-05 01:08","Yes"
"2017-11-05 01:09","Yes"
"2017-11-05 01:28","Yes"
"2017-11-05 01:28","Yes"
"2017-11-05 01:48","Yes"
"2017-11-05 01:48","Yes"
"2017-11-05 02:08","Yes"
"2017-11-05 02:28","Yes"
"2017-11-05 02:48","Yes"
"2017-11-05 03:08","Yes"
"2017-11-05 03:28","Yes"
"2017-11-05 03:48","Yes"
"2017-11-05 04:08","Yes"
"2017-11-05 04:28","Yes"
"2017-11-05 04:48","Yes"
"2017-11-05 05:08","No"
"2017-11-05 05:28","Yes"
"2017-11-05 05:48","No"
"2017-11-05 06:08","Yes"
"2017-11-05 06:28","Yes"
"2017-11-05 06:48","Yes"
"2017-11-05 07:08","Yes"
"2017-11-05 07:28","Yes"
"2017-11-05 07:48","Yes"
"2017-11-05 08:08","Yes"
"2017-11-05 08:28","Yes"
"2017-11-05 08:48","Yes"
"2017-11-05 09:08","Yes"
"2017-11-05 09:28","Yes"
"2017-11-05 09:48","Yes"
"2017-11-05 10:08","Yes"
"2017-11-05 10:28","Yes"
"2017-11-05 10:48","Yes"
"2017-11-05 11:08","No"
"2017-11-05 11:28","No"
"2017-11-05 15:48","No"
"2017-11-05 16:28","No"
"2017-11-05 16:48","No"
"2017-11-05 17:08","Yes"
"2017-11-05 17:28","No"
"2017-11-05 17:48","No"
"2017-11-05 18:08","Yes"
"2017-11-05 18:28","No"
"2017-11-05 18:48","No"
"2017-11-05 19:08","No"
"2017-11-05 19:28","No"
"2017-11-05 19:48","No"
"2017-11-05 20:08","No"
"2017-11-05 20:28","No"
"2017-11-05 20:48","No"
"2017-11-05 21:08","No"
"2017-11-05 21:28","No"
"2017-11-05 21:48","No"
"2017-11-05 22:08","No"
"2017-11-05 22:28","No"
"2017-11-05 22:48","No"
"2017-11-05 23:08","No"
"2017-11-05 23:28","No"
"2017-11-05 23:48","Yes"
"2017-11-06 00:08","No"
"2017-11-06 00:28","No"
"2017-11-06 00:48","No"
"2017-11-06 01:08","No"
"2017-11-06 01:28","No"
"2017-11-06 01:48","No"
"2017-11-06 02:08","No"
"2017-11-06 02:28","No"
"2017-11-06 02:48","No"
"2017-11-06 03:08","No"
"2017-11-06 03:28","No"
"2017-11-06 03:48","No"
"2017-11-06 04:08","No"
"2017-11-06 04:28","No"
"2017-11-06 04:48","No"
"2017-11-06 05:08","No"
"2017-11-06 05:28","No"
"2017-11-06 05:48","No"
"2017-11-06 06:08","No"
"2017-11-06 06:28","No"
"2017-11-06 06:48","No"
"2017-11-06 07:08","No"
"2017-11-06 07:28","No"
"2017-11-06 07:48","No"
"2017-11-06 08:08","No"
"2017-11-06 08:28","Yes"
"2017-11-06 08:48","No"
"2017-11-06 09:08","Yes"
"2017-11-06 09:28","No"
"2017-11-06 09:48","Yes"
"2017-11-06 10:08","No"
"2017-11-06 10:28","Yes"
"2017-11-06 10:48","Yes"
"2017-11-06 11:08","Yes"
"2017-11-06 11:28","No"
"2017-11-06 11:48","Yes"
"2017-11-06 12:08","Yes"
"2017-11-06 12:28","No"
"2017-11-06 12:48","No"
"2017-11-06 13:08","No"
"2017-11-06 13:28","No"
"2017-11-06 13:48","No"
"2017-11-06 14:08","No"
"2017-11-06 14:28","No"
"2017-11-06 14:48","No"
"2017-11-06 15:08","No"
"2017-11-06 15:28","No"
"2017-11-06 15:48","No"
"2017-11-06 16:08","No"
"2017-11-06 16:28","No"
"2017-11-06 16:48","Yes"
"2017-11-06 17:08","Yes"
"2017-11-06 17:28","No"
"2017-11-06 17:48","No"
"2017-11-06 18:08","Yes"
"2017-11-06 18:28","No"
"2017-11-06 18:48","No"
"2017-11-06 19:08","No"
"2017-11-06 19:28","No"
"2017-11-06 19:48","No"
"2017-11-06 20:08","No"
"2017-11-06 20:28","No"
"2017-11-06 20:48","No"
"2017-11-06 21:08","No"
"2017-11-06 21:28","No"
"2017-11-06 21:48","No"
"2017-11-06 22:08","No"
"2017-11-06 22:28","No"
"2017-11-06 22:48","No"
"2017-11-06 23:08","No"
"2017-11-06 23:28","Yes"
"2017-11-06 23:48","Yes"
"2017-11-07 00:08","No"
"2017-11-07 00:28","Yes"
"2017-11-07 00:48","Yes"
"2017-11-07 01:08","No"
"2017-11-07 01:28","No"
"2017-11-07 01:48","No"
"2017-11-07 02:08","No"
"2017-11-07 02:28","No"
"2017-11-07 02:48","No"
"2017-11-07 03:08","No"
"2017-11-07 03:28","No"
"2017-11-07 03:48","Yes"
"2017-11-07 04:08","No"
"2017-11-07 04:28","No"
"2017-11-07 04:48","No"
"2017-11-07 05:08","No"
"2017-11-07 05:28","No"
"2017-11-07 05:48","No"
"2017-11-07 06:08","No"
"2017-11-07 06:28","No"
"2017-11-07 06:48","No"
"2017-11-07 07:08","No"
"2017-11-07 07:28","No"
"2017-11-07 07:48","No"
"2017-11-07 08:08","No"
"2017-11-07 08:28","No"
"2017-11-07 08:48","No"
"2017-11-07 09:08","No"
"2017-11-07 09:28","No"
"2017-11-07 09:48","No"
"2017-11-07 10:08","No"
"2017-11-07 10:28","No"
"2017-11-07 10:48","No"
"2017-11-07 11:08","No"
"2017-11-07 11:28","No"
"2017-11-07 11:48","No"
"2017-11-07 12:08","No"
"2017-11-07 12:28","No"
"2017-11-07 12:48","No"
"2017-11-07 13:08","No"
"2017-11-07 13:28","No"
"2017-11-07 13:48","Yes"
"2017-11-07 14:08","No"
"2017-11-07 14:28","No"
"2017-11-07 14:48","No"
"2017-11-07 15:08","No"
"2017-11-07 15:28","No"
"2017-11-07 15:48","No"
"2017-11-07 16:08","No"
"2017-11-07 16:28","No"
"2017-11-07 16:48","No"
"2017-11-07 17:08","No"
"2017-11-07 17:28","No"
"2017-11-07 17:48","No"
"2017-11-07 18:08","No"
"2017-11-07 18:28","No"
"2017-11-07 18:48","No"
"2017-11-07 19:08","No"
"2017-11-07 19:28","No"
"2017-11-07 19:48","No"
"2017-11-07 20:08","No"
"2017-11-07 20:28","No"
"2017-11-07 20:48","No"
"2017-11-07 21:08","No"
"2017-11-07 21:28","No"
"2017-11-07 21:48","No"
"2017-11-07 22:08","No"
"2017-11-07 22:28","No"
"2017-11-07 22:48","No"
"2017-11-07 23:08","No"
"2017-11-07 23:28","No"
"2017-11-07 23:48","No"
"2017-11-08 00:08","No"
"2017-11-08 00:28","No"
"2017-11-08 00:48","No"
"2017-11-08 01:08","No"
"2017-11-08 01:28","No"
"2017-11-08 01:48","No"
"2017-11-08 02:08","No"
"2017-11-08 02:28","No"
"2017-11-08 02:48","No"
"2017-11-08 03:08","No"
"2017-11-08 03:28","No"
"2017-11-08 03:48","No"
"2017-11-08 04:08","No"
"2017-11-08 04:28","No"
"2017-11-08 04:48","No"
"2017-11-08 05:08","No"
"2017-11-08 05:28","No"
"2017-11-08 05:48","No"
"2017-11-08 06:08","No"
"2017-11-08 06:28","Yes"
"2017-11-08 06:48","Yes"
"2017-11-08 07:08","No"
"2017-11-08 07:28","No"
"2017-11-08 07:48","No"
"2017-11-08 08:08","No"
"2017-11-08 08:28","No"
"2017-11-08 08:48","Yes"
"2017-11-08 09:08","No"
"2017-11-08 09:28","No"
"2017-11-08 09:48","Yes"
"2017-11-08 10:08","Yes"
"2017-11-08 10:28","Yes"
"2017-11-08 10:48","Yes"
"2017-11-08 11:08","No"
"2017-11-08 11:28","No"
"2017-11-08 11:48","No"
