"Time EST","Precipitation Yes/No"
"2018-01-02 10:12","No"
"2018-01-02 10:22","No"
"2018-01-02 10:32","No"
"2018-01-02 10:42","No"
"2018-01-02 10:52","No"
"2018-01-02 11:02","No"
"2018-01-02 11:12","No"
"2018-01-02 11:22","No"
"2018-01-02 11:32","No"
"2018-01-02 11:42","No"
"2018-01-02 11:52","No"
"2018-01-02 12:02","No"
"2018-01-02 12:12","No"
"2018-01-02 12:22","No"
"2018-01-02 12:32","No"
"2018-01-02 12:42","No"
"2018-01-02 12:52","No"
"2018-01-02 13:02","No"
"2018-01-02 13:12","No"
"2018-01-02 13:22","No"
"2018-01-02 13:32","No"
"2018-01-02 13:42","No"
"2018-01-02 13:52","No"
"2018-01-02 14:02","No"
"2018-01-02 14:12","No"
"2018-01-02 14:22","No"
"2018-01-02 14:32","No"
"2018-01-02 14:42","No"
"2018-01-02 14:52","No"
"2018-01-02 15:02","No"
"2018-01-02 15:12","No"
"2018-01-02 15:22","No"
"2018-01-02 15:32","No"
"2018-01-02 15:42","No"
"2018-01-02 15:52","No"
"2018-01-02 16:02","No"
"2018-01-02 16:12","No"
"2018-01-02 16:22","No"
"2018-01-02 16:32","No"
"2018-01-02 16:42","No"
"2018-01-02 16:52","No"
"2018-01-02 17:02","No"
"2018-01-02 17:12","No"
"2018-01-02 17:22","No"
"2018-01-02 17:32","No"
"2018-01-02 17:42","No"
"2018-01-02 17:52","No"
"2018-01-02 18:02","No"
"2018-01-02 18:12","No"
"2018-01-02 18:22","No"
"2018-01-02 18:32","No"
"2018-01-02 18:42","No"
"2018-01-02 18:52","No"
"2018-01-02 19:02","No"
"2018-01-02 19:12","No"
"2018-01-02 19:22","No"
"2018-01-02 19:32","No"
"2018-01-02 19:42","No"
"2018-01-02 19:52","No"
"2018-01-02 20:02","No"
"2018-01-02 20:12","No"
"2018-01-02 20:22","No"
"2018-01-02 20:32","No"
"2018-01-02 20:42","No"
"2018-01-02 20:52","No"
"2018-01-02 21:02","No"
"2018-01-02 21:12","No"
"2018-01-02 21:22","No"
"2018-01-02 21:32","No"
"2018-01-02 21:42","No"
"2018-01-02 21:52","No"
"2018-01-02 22:02","No"
"2018-01-02 22:12","No"
"2018-01-02 22:22","No"
"2018-01-02 22:32","No"
"2018-01-02 22:42","No"
"2018-01-02 22:52","No"
"2018-01-02 23:02","No"
"2018-01-02 23:12","No"
"2018-01-02 23:22","No"
"2018-01-02 23:32","No"
"2018-01-02 23:42","No"
"2018-01-02 23:52","No"
"2018-01-03 00:02","No"
"2018-01-03 00:12","No"
"2018-01-03 00:22","No"
"2018-01-03 00:32","No"
"2018-01-03 00:42","No"
"2018-01-03 00:52","No"
"2018-01-03 01:02","No"
"2018-01-03 01:12","No"
"2018-01-03 01:22","No"
"2018-01-03 01:32","No"
"2018-01-03 01:42","No"
"2018-01-03 01:52","No"
"2018-01-03 02:02","No"
"2018-01-03 02:12","No"
"2018-01-03 02:22","No"
"2018-01-03 02:32","No"
"2018-01-03 02:42","No"
"2018-01-03 02:52","No"
"2018-01-03 03:02","No"
"2018-01-03 03:13","No"
"2018-01-03 03:22","No"
"2018-01-03 03:32","No"
"2018-01-03 03:42","No"
"2018-01-03 03:52","No"
"2018-01-03 04:02","No"
"2018-01-03 04:12","No"
"2018-01-03 04:22","No"
"2018-01-03 04:32","No"
"2018-01-03 04:42","No"
"2018-01-03 04:52","No"
"2018-01-03 05:02","No"
"2018-01-03 05:12","No"
"2018-01-03 05:22","No"
"2018-01-03 05:32","No"
"2018-01-03 05:42","No"
"2018-01-03 05:52","No"
"2018-01-03 06:02","No"
"2018-01-03 06:15","No"
"2018-01-03 06:22","No"
"2018-01-03 06:32","No"
"2018-01-03 06:42","No"
"2018-01-03 06:52","No"
"2018-01-03 07:02","Yes"
"2018-01-03 07:12","Yes"
"2018-01-03 07:22","No"
"2018-01-03 07:32","No"
"2018-01-03 07:42","Yes"
"2018-01-03 07:52","Yes"
"2018-01-03 08:02","Yes"
"2018-01-03 08:22","No"
"2018-01-03 08:34","Yes"
"2018-01-03 08:42","Yes"
"2018-01-03 08:52","Yes"
"2018-01-03 09:02","Yes"
"2018-01-03 09:22","Yes"
"2018-01-03 09:32","Yes"
"2018-01-03 09:42","No"
"2018-01-03 09:52","No"
"2018-01-03 10:02","No"
"2018-01-03 10:12","No"
"2018-01-03 10:22","No"
"2018-01-03 10:32","No"
"2018-01-03 10:42","No"
"2018-01-03 10:53","No"
"2018-01-03 11:02","No"
"2018-01-03 11:12","No"
"2018-01-03 11:22","No"
"2018-01-03 11:32","No"
